,Open Price,PM Beginning Price,PM High Price,Prior Day Price Action Trend,Premarket Move Change Classification,Premarket Move Time Classification,LOD move
273,2.15,2.19,2.99,Sideways,Full Retracement,Sudden Upmove to Fade,-0.013953488372092933
274,7.44,6.12,7.71,Slight Downtrend,Small Retracement,Sudden Downmove,-0.0764914468300666
275,4.7667,4.17,4.86,Slight Uptrend,Small Retracement,Equal Uptrend/Downtrend,-0.01214574898785435
276,2.75,2.8,3.3,Uptrending,Full Retracement,Equal Uptrend/Downtrend,-0.03357241472202576
277,2.42,2.38,2.99,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.029399919452275453
278,1.95,1.82,2.29,Large Uptrend,Medium Retracement,Medium Downtrend,-0.04332832749318654
279,1.89,1.68,1.985,Extreme Uptrend,Medium-Small Retracement,Sudden Downmove,-0.25333333333333335
280,2.65,2.5599,2.91,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.02704834892370114
281,1.53,1.1,1.73,Uptrending,Medium-Small Retracement,Medium Downtrend,-0.1063829787234042
282,2.285,2.15,2.9,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.04770974192934009
283,4.05,3.56,4.26,Extreme Uptrend,Medium-Small Retracement,Sudden Downmove,-0.19135802469135804
284,1.2,0.8385,1.3,Uptrending,Small Retracement,Medium Downtrend,-0.017630032453293382
285,1.26,0.92,1.4077,Downtrending,Small-Medium Retracement,Sudden Downmove,-0.07025699500043842
286,3.71,3.46,4.94,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.025890060630441674
287,8.23,8.7,10.87,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.003926701570680545
288,2.97,2.51,3.04,Extreme Uptrend,Small Retracement,Equal Uptrend/Downtrend,-0.017040816326530622
289,23.05,21.82,27.31,Extreme Uptrend,Medium Retracement,Medium Downtrend,-0.04244482173174873
290,2.28,2.05,2.42,Extreme Uptrend,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.08627450980392147
291,2.12,1.92,2.51,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.10059171597633149
292,2.68,2.45,3.2,Large Uptrend,Medium Retracement,Medium Downtrend,-0.045801526717557293
293,2.75,2.45,2.97,Large Uptrend,Medium Retracement,Sudden Downmove,-0.08503401360544217
294,20.17,17.6,27.86,Large Uptrend,Medium Retracement,Medium Downtrend,-0.2090717272268321
295,8.93,6.5,9.5,Large Uptrend,Small Retracement,Long Uptrend then downmove,-0.08544751846324572
296,1.36,1.21,1.4099,Sideways,Medium-Small Retracement,Medium Downtrend,-0.007194244604316554
297,1.23,1.12,1.33,Sideways,Medium Retracement,Medium Downtrend,
298,3.34,3.1,3.57,Extreme Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.18691293900633474
299,3.41,3.0,4.96,Extreme Uptrend,Medium Retracement,Long Downtrend,-0.013840830449827002
300,1.96,1.89,2.18,Uptrending,Medium Retracement,Long Downtrend,-0.04553872453582806
301,3.95,3.76,4.36,Uptrending,Medium Retracement,Equal Uptrend/Downtrend,-0.044041450777202056
302,1.7,1.26,1.9601,Sideways,Medium-Small Retracement,Long Uptrend then downmove,-0.07444668008048304
303,1.25,1.25,1.4198,Slight Downtrend,Full Retracement,Equal Uptrend/Downtrend,-0.007936507936507943
304,2.435,2.5,4.06,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.07326007326007332
305,1.35,1.34,1.52,Extreme Downtrend,Full Retracement,Sudden Upmove to Fade,-0.1791044776119403
306,15.53,15.5,19.05,Extreme Uptrend,Full Retracement,Long Downtrend,-0.09517426273458444
307,3.69,3.5,3.87,Slight Downtrend,Medium Retracement,Medium Downtrend,-0.02063130133787532
308,1.74,1.85,2.27,Extreme Uptrend,Full Retracement,Medium Downtrend,-0.2557251908396947
309,5.33,3.65,7.49,Sideways,Medium-Small Retracement,Medium Downtrend,-0.02550091074681249
310,1.4,1.31,1.51,Sideways,Medium Retracement,Long Downtrend,-0.00810889081957709
311,17.59,17.01,22.4,Extreme Uptrend,Full Retracement,Medium Uptrend then downmove,-0.2983942908117752
312,2.51,2.11,3.14,Sideways,Medium Retracement,Long Uptrend then downmove,-0.016528925619834725
313,17.395,14.5,18.19,Downtrending,Small-Medium Retracement,Long Uptrend then downmove,-0.01848509740201334
314,3.61,3.45,4.0,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.12314753499417713
315,9.0,3.67,13.39,Uptrending,Small Retracement,Equal Uptrend/Downtrend,-0.06287069988137596
316,2.16,1.92,2.24,Slight Downtrend,Medium-Small Retracement,Sudden Downmove,-0.019950997549877517
317,3.0,2.85,3.44,Uptrending,Medium Retracement,Long Downtrend,-0.09249563699825483
318,1.285,1.15,1.69,Uptrending,Medium Retracement,Sudden Upmove to Fade,-0.040650406504065074
319,28.12,25.1,28.75,Sideways,Small-Medium Retracement,Sudden Downmove,-0.017863161442534584
320,27.48,22.34,34.2,Extreme Uptrend,Medium Retracement,Long Downtrend,-0.04632836420217837
321,3.14,1.36,3.35,Extreme Uptrend,Barely Retraces,Sudden Downmove,-0.11979833877432962
322,1.48,1.38,1.58,Sideways,Medium Retracement,Medium Downtrend,-0.04195804195804184
323,6.48,6.1,7.2,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.017898832684824936
324,3.3,3.05,4.01,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.05505952380952383
325,3.17,1.92,4.22,Sideways,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.08037383177570089
326,16.73,17.12,18.0,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.056790123456790055
327,2.5,2.2999,2.7,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.048154718123999456
328,3.68,3.29,3.8696,Slight Downtrend,Medium-Small Retracement,Sudden Downmove,-0.02849740932642484
329,3.85,3.1,4.22,Slight Uptrend,Medium-Small Retracement,Medium Uptrend then downmove,-0.045698924731182894
330,1.43,1.43,1.6,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.04999999999999989
331,5.7673,4.97,5.96,Large Uptrend,Small-Medium Retracement,Sudden Upmove to Fade,-0.052222538148042855
332,3.52,3.42,3.92,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.07820762593932651
333,2.72,2.51,3.07,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.0016064257028112464
334,1.47,1.47,1.86,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.02287049493733641
335,1.79,1.52,1.93,Sideways,Medium-Small Retracement,Medium Downtrend,-0.055393586005830886
336,8.1,6.48,9.38,Sideways,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.007621951219512168
337,5.04,3.3,8.18,Slight Downtrend,Medium-Small Retracement,Sudden Upmove to Fade,-0.03912757757135498
338,4.6,4.08,4.82,Sideways,Medium-Small Retracement,Sudden Upmove to Fade,-0.005780346820809331
339,7.5,6.53,8.3,Downtrending,Medium Retracement,Sudden Upmove to Fade,-0.01978208265547463
340,2.89,2.94,3.58,Extreme Uptrend,Full Retracement,Sudden Upmove to Fade,-0.07765451664025347
341,6.4,5.8,6.8,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.04450625869262869
342,3.65,3.5,4.47,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.2075791689815492
343,1.42,1.4,1.7,Sideways,Full Retracement,Sudden Upmove to Fade,-0.04255319148936158
344,3.68,3.0,3.85,Uptrending,Small-Medium Retracement,Sudden Downmove,-0.054852320675105565
345,5.0964,5.51,6.55,Sideways,Full Retracement,Sudden Upmove to Fade,-0.08124662223022888
346,2.16,1.95,2.35,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.11282051282051281
347,2.9,3.15,3.88,Extreme Downtrend,Full Retracement,Sudden Upmove to Fade,-0.017730496453900648
348,2.75,2.91,3.36,Large Uptrend,Full Retracement,Medium Uptrend then downmove,-0.05511811023622052
349,4.39,5.0,5.85,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.07894736842105259
350,3.27,1.95,4.44,Sideways,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.0714285714285715
351,2.07,2.15,2.55,Extreme Downtrend,Full Retracement,Long Downtrend,
352,2.11,1.94,2.37,Large Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.17948717948717943
353,5.91,5.5,6.96,Extreme Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.13101823061565152
354,17.02,15.51,17.67,Extreme Uptrend,Medium-Small Retracement,Medium Downtrend,-0.04403561350162969
355,2.03,1.7,2.35,Slight Uptrend,Medium Retracement,Medium Uptrend then downmove,-0.28476821192052976
356,3.16,1.78,3.33,Extreme Downtrend,Barely Retraces,Long Uptrend then downmove,-0.09871244635193133
357,23.0,17.52,25.5,Extreme Downtrend,Medium-Small Retracement,Medium Uptrend then downmove,-0.014884149148380996
358,2.58,2.77,3.0,Large Uptrend,Back to where it came from,Sudden Upmove to Fade,-0.040694354562411966
359,2.65,2.51,2.94,Sideways,Medium Retracement,Medium Downtrend,-0.048689138576778986
360,1.23,1.1001,1.32,Downtrending,Medium Retracement,Medium Downtrend,-0.034782608695652015
361,3.0,2.8,3.34,Uptrending,Medium Retracement,Medium Downtrend,-0.0662768627931182
362,2.88,2.9,3.3,Uptrending,Full Retracement,Equal Uptrend/Downtrend,-0.0997648639570036
363,9.87,9.25,11.3,Extreme Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.08427995191065266
364,12.2,10.22,12.6,Large Uptrend,Small Retracement,Medium Downtrend,-0.012307692307692318
365,1.78,1.5,1.95,Slight Downtrend,Medium-Small Retracement,Long Downtrend,-0.1079946575081091
366,3.36,3.02,3.76,Slight Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.07499999999999996
367,1.46,1.5,1.7,Sideways,Full Retracement,Long Downtrend,-0.03539258103411578
368,1.29,1.13,1.3,Sideways,Barely Retraces,Medium Downtrend,-7.75133710564987e-05
369,4.0,1.84,4.08,Uptrending,Barely Retraces,Sudden Downmove,-0.17868338557993727
370,4.23,4.03,4.56,Slight Downtrend,Medium Retracement,Equal Uptrend/Downtrend,-0.007438233957570845
371,12.0,10.59,13.77,Large Uptrend,Medium Retracement,Long Downtrend,-0.03161417974844633
372,4.25,4.38,5.1,Sideways,Full Retracement,Medium Downtrend,-0.03301886792452843
373,1.38,1.17,1.56,Sideways,Medium Retracement,Sudden Upmove to Fade,0.0
374,2.12,1.99,2.3,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.06833812984732457
375,1.55,1.37,1.85,Large Uptrend,Medium Retracement,Sudden Downmove,-0.10738255033557041
376,2.1,2.39,2.98,Large Uptrend,Full Retracement,Sudden Upmove to Fade,
377,9.99,9.3,11.45,Extreme Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.07746980857240263
378,11.49,7.4,12.365,Extreme Uptrend,Small Retracement,Sudden Downmove,-0.14144144144144147
379,1.07,0.98,1.13,Downtrending,Medium Retracement,Medium Uptrend then downmove,-0.09671560775030869
380,1.8,1.63,2.0,Sideways,Medium Retracement,Long Downtrend,
381,5.56,3.06,5.79,Sideways,Barely Retraces,Long Uptrend then downmove,-0.026923076923077032
382,1.83,1.8,2.19,Sideways,Full Retracement,Medium Downtrend,-0.03763440860215057
383,23.69,20.8,26.48,Extreme Uptrend,Medium Retracement,Sudden Downmove,-0.06271869897024032
384,1.29,1.27,1.44,Sideways,Full Retracement,Sudden Upmove to Fade,
385,1.66,1.54,1.8,Large Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.06832298136645969
386,12.26,12.1,13.99,Extreme Uptrend,Full Retracement,Medium Downtrend,-0.06760434056761275
387,2.81,2.49,2.89,Extreme Uptrend,Small-Medium Retracement,Long Uptrend then downmove,-0.038430718933299114
388,2.37,2.3,2.85,Sideways,Full Retracement,Sudden Upmove to Fade,-0.02164502164502176
389,1.8,1.5001,1.85,Slight Uptrend,Small Retracement,Sudden Downmove,
390,4.53,3.75,4.92,Large Uptrend,Medium-Small Retracement,Medium Downtrend,-0.07168387609213665
391,4.45,3.58,4.5,Extreme Uptrend,Barely Retraces,Sudden Downmove,-0.225531914893617
392,8.81,7.4,9.76,Large Uptrend,Medium-Small Retracement,Sudden Downmove,-0.09258138989370242
393,2.87,2.53,2.97,Large Uptrend,Small-Medium Retracement,Long Downtrend,-0.05603610379842047
394,2.27,2.06,2.53,Extreme Uptrend,Medium Retracement,Long Uptrend then downmove,-0.046511627906976785
395,1.71,1.8,2.1,Large Uptrend,Full Retracement,Medium Downtrend,-0.098360655737705
396,3.76,2.7,5.0,Extreme Uptrend,Medium-Small Retracement,Sudden Upmove to Fade,-0.24035087719298245
397,11.5,10.5,13.11,Extreme Uptrend,Medium Retracement,Medium Uptrend then downmove,-0.08227848101265829
398,2.22,2.15,2.4599,Downtrending,Full Retracement,Equal Uptrend/Downtrend,-0.02735159817351591
399,40.75,27.09,53.0,Extreme Uptrend,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.2942186926241496
400,14.05,8.89,17.06,Downtrending,Small-Medium Retracement,Sudden Upmove to Fade,-0.10769230769230777
401,2.16,2.11,2.38,Extreme Uptrend,Full Retracement,Medium Uptrend then downmove,-0.14285714285714274
402,1.73,1.55,2.13,Sideways,Medium Retracement,Medium Downtrend,
403,3.37,1.44,3.96,Sideways,Barely Retraces,Medium Uptrend then downmove,-0.04068002428658159
404,2.76,2.6,3.05,Downtrending,Medium Retracement,Medium Downtrend,-0.02896081771720612
405,3.94,4.1,4.8,Uptrending,Full Retracement,Sudden Upmove to Fade,-0.12851742965140703
406,3.45,3.5,3.85,Slight Downtrend,Full Retracement,Sudden Upmove to Fade,-0.047337278106508784
407,3.26,2.14,3.89,Extreme Downtrend,Small-Medium Retracement,Sudden Downmove,-0.07256637168141596
408,3.59,3.42,4.25,Sideways,Medium Retracement,Long Downtrend,-0.059299191374663
409,1.9,1.75,2.4,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.08338107390240088
410,22.0,22.53,27.69,Extreme Uptrend,Full Retracement,Medium Downtrend,-0.15832842848734538
411,1.2,1.36,1.6,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.15909090909090906
412,3.51,2.52,5.63,Sideways,Medium-Small Retracement,Sudden Upmove to Fade,-0.003533568904593721
413,2.54,1.58,2.95,Large Uptrend,Small-Medium Retracement,Sudden Downmove,-0.15055123802638715
414,2.1394,1.75,3.2,Slight Uptrend,Medium Retracement,Long Uptrend then downmove,-0.1842105263157894
415,1.71,1.34,3.17,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.009900332225913565
416,2.15,2.69,4.0,Sideways,Full Retracement,Sudden Upmove to Fade,-0.06936416184971092
417,2.1,2.63,3.8,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.03225806451612906
418,1.27,1.18,1.4,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.03854123497720679
419,6.77,5.45,7.1,Extreme Uptrend,Small-Medium Retracement,Sudden Downmove,
420,1.04,0.93,1.2,Large Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.03854625550660791
421,6.19,5.73,7.8,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.0637958532695374
422,11.25,10.05,11.93,Extreme Uptrend,Medium-Small Retracement,Long Downtrend,-0.05449591280653948
423,2.36,2.21,2.6,Sideways,Medium Retracement,Long Downtrend,-0.03378378378378386
424,13.85,12.12,19.99,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.09829351535836174
425,1.4,1.35,1.58,Sideways,Full Retracement,Equal Uptrend/Downtrend,-0.0348155808341951
426,1.53,1.34,1.57,Large Uptrend,Small-Medium Retracement,Sudden Downmove,-0.043165467625899165
427,2.79,2.6,3.13,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.058614564831261116
428,1.55,1.17,3.09,Extreme Uptrend,Medium-Small Retracement,Medium Downtrend,-0.1508771929824562
429,2.32,2.15,2.59,Downtrending,Medium Retracement,Long Uptrend then downmove,-0.017391304347826105
430,1.41,1.34,2.45,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.03126073514256276
431,6.97,3.5,9.7,Slight Downtrend,Small-Medium Retracement,Equal Uptrend/Downtrend,-0.3748602221535906
432,1.64,1.4,1.71,Large Uptrend,Small-Medium Retracement,Medium Downtrend,-0.09967845659163989
433,1.84,1.61,1.92,Large Uptrend,Medium-Small Retracement,Sudden Upmove to Fade,-0.08504398826979473
434,1.57,1.6,2.18,Large Uptrend,Full Retracement,Sudden Downmove,-0.08571428571428566
435,1.24,1.15,1.4,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.04229171963725745
436,2.02,1.76,2.08,Extreme Uptrend,Small-Medium Retracement,Sudden Downmove,-0.08333333333333341
437,1.96,1.71,2.22,Uptrending,Medium Retracement,Sudden Upmove to Fade,-0.04069767441860469
438,5.3,4.99,5.87,Extreme Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.06586826347305391
439,2.53,2.31,2.94,Uptrending,Medium Retracement,Equal Uptrend/Downtrend,-0.08429118773946351
440,6.51,5.72,6.58,Sideways,Barely Retraces,Medium Downtrend,-0.05510534846029171
441,4.86,5.0,8.11,Extreme Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.03176341730558608
442,1.58,1.45,1.6402,Sideways,Medium-Small Retracement,Sudden Downmove,-0.0789473684210527
443,3.17,3.02,3.68,Sideways,Medium Retracement,Long Downtrend,-0.014357262103505892
444,2.55,2.41,2.96,Extreme Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.024350583357047147
445,2.19,1.85,2.75,Extreme Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.11194029850746277
446,3.0,2.39,4.33,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.2574074074074075
447,1.71,1.57,2.33,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.04320987654320991
448,2.24,2.07,3.04,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.009756097560975618
449,1.52,1.23,1.6,Uptrending,Small-Medium Retracement,Equal Uptrend/Downtrend,0.0
450,1.91,1.41,2.24,Large Uptrend,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.05178365937859601
451,2.92,2.73,3.49,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.05625000000000005
452,13.25,5.0,19.39,Slight Uptrend,Small Retracement,Medium Downtrend,-0.26041666666666674
453,2.28,2.0,2.67,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.054876653393747955
454,3.27,3.0,3.81,Slight Uptrend,Medium Retracement,Long Downtrend,-0.0044182621502209495
455,1.2,1.09,1.27,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.024793388429752088
456,3.495,3.39,3.81,Downtrending,Full Retracement,Medium Downtrend,-0.018492176386913212
457,3.07,2.6,3.48,Extreme Uptrend,Medium Retracement,Sudden Downmove,-0.03703703703703714
458,2.0,1.65,2.66,Sideways,Medium Retracement,Long Downtrend,-0.0050002809146582
459,1.99,1.81,2.1,Large Uptrend,Medium-Small Retracement,Medium Uptrend then downmove,-0.013698630136986212
460,1.23,1.16,1.37,Uptrending,Medium Retracement,Medium Uptrend then downmove,-0.0303030303030304
461,1.26,1.1,1.32,Large Uptrend,Medium-Small Retracement,Sudden Downmove,-0.05729977867038288
462,1.6,1.44,1.7201,Extreme Uptrend,Medium Retracement,Sudden Downmove,-0.011904761904761916
463,2.92,2.31,3.06,Extreme Uptrend,Small Retracement,Sudden Downmove,-0.22692307692307703
464,1.64,1.49,1.75,Large Uptrend,Medium Retracement,Medium Uptrend then downmove,-0.009039169735520634
465,5.1,4.64,5.45,Sideways,Medium Retracement,Medium Downtrend,-0.0654761904761905
466,1.72,1.62,2.0,Extreme Uptrend,Medium Retracement,Sudden Downmove,-0.050632911392405104
467,1.63,1.17,1.76,Uptrending,Small-Medium Retracement,Sudden Downmove,-0.1222222222222222
468,3.92,3.19,6.2,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.11658031088082894
469,4.38,2.14,4.39,Extreme Uptrend,Barely Retraces,Sudden Downmove,-0.2222222222222222
470,2.07,1.97,2.3,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.009455200360198068
471,2.38,2.05,2.9601,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.02651515151515162
472,1.54,1.46,1.69,Uptrending,Medium Retracement,Long Downtrend,-0.026554532812396545
473,1.8,1.94,2.28,Slight Downtrend,Full Retracement,Sudden Upmove to Fade,-0.06896551724137923
474,1.47,1.37,1.64,Sideways,Medium Retracement,Medium Downtrend,-0.062004276156976255
475,3.73,3.59,4.15,Large Uptrend,Medium Retracement,Medium Downtrend,-0.011799410029498535
476,2.05,1.88,2.63,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.11777301927194857
477,2.57,2.29,3.2,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.05627705627705623
478,1.56,1.34,1.75,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.05369127516778528
479,9.38,9.0,10.9,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.020156774916013406
480,1.26,1.08,1.65,Slight Downtrend,Medium Retracement,Medium Downtrend,-0.06086956521739117
481,3.52,3.21,4.58,Large Uptrend,Medium Retracement,Medium Downtrend,-0.08201624125111628
482,7.61,9.1,12.5,Sideways,Full Retracement,Sudden Upmove to Fade,-0.04237824161922833
483,3.15,2.93,3.31,Extreme Uptrend,Medium Retracement,Medium Uptrend then downmove,-0.03934426229508186
484,1.59,1.06,2.04,Large Uptrend,Medium-Small Retracement,Sudden Upmove to Fade,-0.11040617888421482
485,3.0,2.95,4.0,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.06583072100313479
486,1.58,1.22,1.81,Large Uptrend,Medium-Small Retracement,Medium Downtrend,-0.054545454545454515
487,3.34,2.86,3.41,Extreme Uptrend,Small Retracement,Sudden Downmove,-0.10542168674698785
488,3.31,3.53,4.1,Large Uptrend,Full Retracement,Equal Uptrend/Downtrend,-0.027647058823529514
489,1.84,1.87,2.33,Downtrending,Full Retracement,Sudden Upmove to Fade,-0.05591487586063006
490,1.77,1.15,2.38,Extreme Uptrend,Medium-Small Retracement,Medium Downtrend,-0.04137931034482763
491,2.9,2.45,3.04,Large Uptrend,Small-Medium Retracement,Sudden Upmove to Fade,-0.017587754801677853
492,6.83,6.8,8.3,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.0719910011248594
493,2.2,2.13,2.5,Sideways,Full Retracement,Sudden Upmove to Fade,-0.023936788287241405
494,1.03,0.526,1.085,Slight Uptrend,Barely Retraces,Sudden Downmove,-0.028747175495857296
495,1.36,1.33,1.53,Large Uptrend,Full Retracement,Long Uptrend then downmove,-0.07142857142857134
496,1.65,1.36,1.93,Extreme Uptrend,Medium Retracement,Sudden Downmove,-0.07801418439716304
497,2.98,2.69,3.19,Uptrending,Medium Retracement,Equal Uptrend/Downtrend,-0.17833456153279292
498,1.36,1.35,1.57,Extreme Uptrend,Full Retracement,Long Downtrend,-0.06766917293233082
499,4.61,5.04,5.89,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.07518830503186694
500,1.84,1.7701,2.0,Uptrending,Medium Retracement,Sudden Upmove to Fade,-0.037128712871287106
501,3.68,3.15,3.93,Sideways,Medium-Small Retracement,Sudden Upmove to Fade,0.0
502,3.4166,3.08,3.7,Uptrending,Medium Retracement,Sudden Upmove to Fade,-0.019169329073482445
503,3.65,3.01,4.2,Slight Uptrend,Medium-Small Retracement,Long Downtrend,-0.027027027027026983
504,2.06,1.96,2.23,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.006332698347320176
505,4.02,4.1,5.0,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.07466666666666662
506,13.0,12.14,13.5001,Sideways,Medium-Small Retracement,Medium Downtrend,-0.048458149779735574
507,2.23,2.12,2.54,Extreme Downtrend,Medium Retracement,Long Downtrend,-0.05668332971093234
508,1.22,1.09,1.27,Slight Uptrend,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.04526748971193428
509,9.9,8.94,10.4,Sideways,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.03739213806327906
510,4.5,4.5,5.21,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.20253164556962025
511,4.59,3.99,5.37,Extreme Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.0277777777777778
512,2.255,1.85,2.35,Extreme Uptrend,Small-Medium Retracement,Medium Uptrend then downmove,-0.184388077547186
513,1.61,1.5,1.72,Large Uptrend,Medium Retracement,Medium Downtrend,-0.0013478740350448485
514,1.726,1.85,2.17,Uptrending,Full Retracement,Sudden Upmove to Fade,-0.004673180797475293
515,19.95,16.9999,21.2,Slight Uptrend,Medium-Small Retracement,Medium Downtrend,-0.00740740740740725
516,10.1,9.16,10.68,Slight Downtrend,Medium-Small Retracement,Sudden Upmove to Fade,-0.04982641059424305
517,2.59,2.3,2.9468,Large Uptrend,Medium Retracement,Sudden Downmove,-0.011725490196078447
518,2.32,2.21,3.0,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.04494636310143482
519,8.22,8.0,10.53,Downtrending,Full Retracement,Sudden Upmove to Fade,-0.038007863695937096
520,1.91,1.6,2.14,Uptrending,Medium-Small Retracement,Long Uptrend then downmove,-0.11158658542257789
521,1.9,1.75,2.01,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.018518518518518535
522,3.77,3.93,4.65,Sideways,Full Retracement,Sudden Upmove to Fade,-0.05099150141643052
523,3.37,2.0,3.91,Uptrending,Small-Medium Retracement,Sudden Downmove,-0.05228758169934645
524,1.69,1.34,1.74,Extreme Uptrend,Barely Retraces,Sudden Downmove,-0.1377245508982036
525,3.74,2.15,4.03,Sideways,Barely Retraces,Sudden Downmove,-0.10999761393462178
526,1.81,1.44,2.4,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.022455849126204522
527,1.78,1.58,2.12,Sideways,Medium Retracement,Sudden Upmove to Fade,
528,1.53,1.59,1.97,Sideways,Full Retracement,Sudden Upmove to Fade,-0.11368015414258192
529,2.25,2.0,3.33,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.10081770081770092
530,14.52,12.0,15.09,Uptrending,Small-Medium Retracement,Medium Uptrend then downmove,-0.06269349845201243
531,3.3,3.0,3.6,Large Uptrend,Medium Retracement,Medium Downtrend,-0.046400000000000004
532,1.73,1.77,2.1,Sideways,Full Retracement,Sudden Upmove to Fade,-0.06807866868381243
533,1.89,1.46,2.04,Sideways,Small-Medium Retracement,Sudden Upmove to Fade,-0.06581232409126288
534,1.34,1.15,1.38,Extreme Uptrend,Small-Medium Retracement,Equal Uptrend/Downtrend,-0.038759689922480654
535,1.58,1.7,1.97,Slight Uptrend,Full Retracement,Long Downtrend,
536,1.97,1.71,2.21,Slight Uptrend,Medium Retracement,Long Downtrend,-0.05686043348145459
537,1.24,1.22,1.49,Uptrending,Full Retracement,Sudden Upmove to Fade,-0.08387964363758606
538,2.17,1.47,3.29,Sideways,Medium-Small Retracement,Sudden Upmove to Fade,-0.12698412698412698
539,6.68,6.5,7.5,Sideways,Full Retracement,Long Downtrend,
540,2.8436,2.5,4.14,Extreme Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.06529209621993125
541,4.57,4.3,5.0,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.044186046511627795
542,12.4057,10.75,13.35,Uptrending,Medium-Small Retracement,Sudden Upmove to Fade,-0.03169572107765441
543,9.69,8.31,10.1499,Large Uptrend,Medium-Small Retracement,Sudden Downmove,-0.03953637281182511
544,5.89,5.5,6.9,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.010638297872340469
